ID	signup_ym	birth_year	annual_income	marital_status	children	recency	amount_alcohol	amount_fruit	amount_meat	amount_fish	amount_snack	amount_general	num_purchase_web	num_purchase_store	num_purchase_discount	promotion_1	promotion_2	promotion_3	promotion_4	promotion_5	promotion_6	revenue
5524	2020-12	1965	75579400.0	미혼	0	58	825500	114400	709800	223600	114400	114400	8	4	3	0	0	0	0	0	1	11
2174	2022-06	1962	60247200.0	미혼	2	38	14300	1300	7800	2600	1300	7800	1	2	2	0	0	0	0	0	0	11
4141	2021-11	1973	93096900.0	배우자 있음	0	26	553800	63700	165100	144300	27300	54600	8	10	1	0	0	0	0	0	0	11
6182	2022-05	1992	34639800.0	배우자 있음	1	26	14300	5200	26000	13000	3900	6500	2	4	2	0	0	0	0	0	0	11
5324	2022-04	1989	75780900.0	배우자 있음	1	94	224900	55900	153400	59800	35100	19500	5	6	5	0	0	0	0	0	0	11
7446	2021-12	1975	81266900.0	배우자 있음	1	16	676000	54600	127400	0	54600	18200	6	10	2	0	0	0	0	0	0	11
965	2021-02	1979	72325500.0	이혼	1	34	305500	84500	213200	65000	63700	35100	7	7	4	0	0	0	0	0	0	11
6177	2021-08	1993	43490200.0	배우자 있음	1	32	98800	13000	72800	3900	1300	29900	4	4	2	0	0	0	0	0	0	11
4855	2021-09	1982	39456300.0	배우자 있음	1	19	18200	0	31200	3900	3900	2600	3	2	1	0	0	0	0	0	1	11
5899	2022-06	1958	7342400.0	배우자 있음	2	68	36400	0	7800	1300	1300	16900	1	0	1	0	0	1	0	0	0	11
1994	2022-02	1991		배우자 있음	1	11	6500	6500	7800	0	2600	1300	1	2	1	0	0	0	0	0	0	11
387	2021-02	1984	9750000.0	배우자 있음	0	59	7800	20800	14300	14300	1300	20800	2	3	1	0	0	0	0	0	0	11
2125	2022-02	1967	81942900.0	이혼	0	82	252200	79300	624000	292500	145600	39000	3	8	1	0	0	0	0	0	0	11
8180	2022-02	1960	77160200.0	이혼	2	53	302900	2600	68900	3900	6500	18200	6	5	3	0	0	0	0	0	0	11
2569	2021-01	1995	22519900.0	배우자 있음	0	38	3900	18200	22100	7800	1300	6500	1	3	1	0	0	0	0	0	0	11
2114	2021-02	1954	107640000.0	미혼	0	23	1307800	28600	149500	76700	88400	58500	7	12	1	1	0	0	0	1	1	11
9736	2021-03	1988	54405000.0	배우자 있음	2	51	68900	6500	24700	2600	16900	5200	3	3	3	0	0	0	0	0	0	11
4939	2020-11	1954	49088000.0	배우자 있음	0	20	109200	6500	49400	195000	15600	36400	4	6	2	0	0	0	0	0	0	11
6565	2021-06	1957	100093500.0	배우자 있음	1	91	1315600	104000	647400	0	20800	228800	11	9	2	1	0	0	0	0	0	11
2278	2021-01	1993	43955600.0	미혼	1	86	5200	22100	24700	39000	31200	50700	2	3	2	0	0	0	0	0	0	11
9360	2020-11	1990	48152000.0	배우자 있음	0	41	111800	2600	94900	89700	49400	62400	4	5	1	0	0	0	0	0	0	11
5376	2021-04	1987	3181100.0	배우자 있음	1	42	1300	1300	2242500	1300	1300	1300	0	0	15	0	0	0	0	0	0	11
1993	2021-03	1957	76189100.0	배우자 있음	1	63	1127100	0	111800	0	0	24700	2	9	3	0	0	0	1	0	0	11
4047	2022-04	1962	84921200.0	배우자 있음	1	0	499200	0	132600	27300	41600	6500	6	9	3	0	0	0	0	0	0	11
1409	2021-06	1959	52895700.0	배우자 있음	1	69	351000	3900	35100	50700	7800	128700	7	5	7	0	0	0	0	0	0	11
7892	2021-03	1977	24165700.0	미혼	0	89	7800	5200	32500	19500	15600	16900	2	3	2	0	0	0	0	0	0	11
2404	2021-08	1984	69366700.0	배우자 있음	2	4	224900	5200	39000	3900	7800	53300	5	4	4	0	0	0	0	0	0	11
5255	2021-05	1994		미혼	1	19	6500	1300	3900	3900	341900	470600	27	0	0	0	0	0	0	0	0	11
9422	2021-08	1997	49868000.0	배우자 있음	1	26	46800	2600	54600	26000	27300	13000	2	4	2	0	0	0	0	0	0	11
1966	2022-02	1973	110003400.0	배우자 있음	0	96	889200	130000	1041300	27300	85800	0	6	10	1	0	0	0	0	1	0	11
6864	2022-08	1997	14272700.0	이혼	0	34	10400	5200	13000	2600	2600	5200	3	3	2	0	0	0	0	0	0	11
3033	2021-08	1971	50206000.0	배우자 있음	0	56	145600	22100	57200	44200	28600	115700	2	3	1	0	0	0	0	0	0	11
5710	2021-01	1978	52712400.0	배우자 있음	1	31	143000	0	6500	2600	0	3900	2	4	2	0	0	0	1	0	0	11
7373	2021-01	1960	60593000.0	이혼	2	8	124800	15600	124800	42900	28600	55900	4	6	6	0	0	0	0	0	1	11
8755	2021-05	1954	89254100.0	배우자 있음	0	4	626600	44200	612300	154700	88400	28600	3	9	1	0	0	0	0	0	0	11
10738	2021-11	1959	64205700.0	미혼	2	55	52000	0	24700	2600	1300	3900	2	3	1	0	0	0	0	0	0	11
4339	2022-03	1978	87558900.0	배우자 있음	1	37	912600	22100	196300	0	10400	45500	5	12	5	0	0	0	0	0	0	11
10755	2021-11	1984	30833400.0	배우자 있음	1	76	7800	3900	18200	19500	9100	46800	3	2	3	0	0	0	0	0	0	11
8595	2022-05	1981	55157700.0	사별	1	99	71500	0	7800	2600	0	5200	1	3	2	0	0	0	0	0	0	11
