Country,Continent,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incident_Rate
Australia,Australia,2020-08-10 06:34:52,-25.0,133.0,21397.0,313.0,12141.0,8943.0,84.04262422573714
Austria,Europe,2020-08-10 06:34:52,47.5162,14.5501,22033.0,721.0,19923.0,1389.0,244.63714691774737
Canada,North America,2020-08-10 06:34:52,60.00100000000001,-95.001,121367.0,9028.0,105420.0,6919.0,320.6042777914936
China,Asia,2020-08-10 06:34:52,30.5928,114.3055,88793.0,4686.0,82125.0,1982.0,6.321242702224505
Denmark,Europe,2020-08-10 06:34:52,56.2639,9.5018,14759.0,617.0,13069.0,1073.0,254.80805835016488
Finland,Europe,2020-08-10 06:34:52,61.9241,25.7482,7584.0,331.0,6980.0,273.0,136.87756713119128
France,Europe,2020-08-10 06:34:52,46.2276,2.2137,235237.0,30327.0,82971.0,121939.0,360.3866144049366
Germany,Europe,2020-08-10 06:34:52,51.165691,10.451526,217288.0,9202.0,196783.0,11303.0,259.34324290888907
Iceland,Europe,2020-08-10 06:34:52,64.9631,-19.0208,1958.0,10.0,1834.0,114.0,573.7728937728938
Ireland,Europe,2020-08-10 06:34:52,53.1424,-7.6921,26712.0,1772.0,23364.0,1576.0,540.970100830411
Italy,Europe,2020-08-10 06:34:52,41.8719,12.5674,250566.0,35205.0,202098.0,13263.0,414.4201528276651
Netherlands,Europe,2020-08-10 06:34:52,52.3167,5.55,59360.0,6178.0,237.0,52945.0,346.4280126266474
Norway,Europe,2020-08-10 06:34:52,60.472,8.4689,9638.0,256.0,8857.0,525.0,177.78213922197162
Russia,Europe,2020-08-10 06:34:52,61.524,105.3188,885718.0,14903.0,692059.0,178756.0,606.9286171340202
Sweden,Europe,2020-08-10 06:34:52,60.1282,18.6435,82323.0,5763.0,,,815.1381238445947
Switzerland,Europe,2020-08-10 06:34:52,46.8182,8.2275,36603.0,1986.0,32300.0,2317.0,422.9302783785489
UK,Europe,2020-08-10 06:34:52,55.0,-3.0,312574.0,46659.0,1451.0,264464.0,460.4395333093991
US,Others,2020-08-10 06:34:52,40.0,-100.0,5044864.0,162938.0,1656864.0,3225062.0,1531.2231509893231
Spain,Europe,2020-08-10 06:34:52,40.463667,-3.74922,314362.0,28503.0,150376.0,135483.0,672.3632959648214
Mexico,North America,2020-08-10 06:34:52,23.6345,-102.5528,480278.0,52298.0,384432.0,43548.0,375.8270667448581
Chile,South America,2020-08-10 06:34:52,-35.6751,-71.543,373056.0,10077.0,345826.0,17153.0,1951.5166422380087
Brazil,South America,2020-08-10 06:34:52,-14.235,-51.9253,3035422.0,101049.0,2356983.0,577390.0,1428.0346441874044
Peru,South America,2020-08-10 06:34:52,-9.19,-75.0152,478024.0,21072.0,324020.0,132932.0,1449.7944701064052
Colombia,South America,2020-08-10 06:34:52,4.5709,-74.2973,387481.0,12842.0,212688.0,161951.0,761.5154046692793
Japan,Asia,2020-08-10 06:34:52,36.204824,138.252924,49000.0,1047.0,32867.0,15086.0,38.74238793119902
Ukraine,Europe,2020-08-10 06:34:52,48.3794,31.1656,83775.0,1950.0,45722.0,36103.0,191.55682455743167
India,Asia,2020-08-10 06:34:52,20.593684,78.96288,2215074.0,44386.0,1535743.0,634945.0,160.51209866264298
