연월,시군구명,읍면동명,업종명,성별,이용자수,이용금액
2017-01-01,서귀포시,남원읍,건강보조식품 소매업,남성,11,137500
2017-01-01,서귀포시,천지동,건강보조식품 소매업,여성,61,12334400
2017-01-01,서귀포시,대정읍,기타음식료품위주종합소매업,남성,555,17301300
2017-01-01,서귀포시,대정읍,기타 주점업,남성,324,71843080
2017-01-01,서귀포시,대정읍,기타 외국식 음식점업,남성,40,971000
2017-01-01,서귀포시,대정읍,그외 기타 종합 소매업,남성,1,300000
2017-01-01,서귀포시,대정읍,그외 기타 분류안된 오락관련 서비스업,남성,7,270000
2017-01-01,서귀포시,대륜동,일반유흥 주점업,여성,33,2149000
2017-01-01,서귀포시,대정읍,비알콜 음료점업,남성,607,11502400
2017-01-01,서귀포시,대륜동,일식 음식점업,여성,67,3616000
2017-01-01,서귀포시,대륜동,중식 음식점업,여성,284,6384090
2017-01-01,서귀포시,대륜동,차량용 가스 충전업,여성,95,2935698
2017-01-01,서귀포시,대륜동,차량용 주유소 운영업,여성,1356,63745839
2017-01-01,서귀포시,대륜동,스포츠 및 레크레이션 용품 임대업,남성,1,12000
2017-01-01,서귀포시,대륜동,체인화 편의점,여성,4372,39788940
2017-01-01,서귀포시,대륜동,한식 음식점업,여성,3623,141227458
2017-01-01,서귀포시,대륜동,전시 및 행사 대행업,여성,109,11056500
2017-01-01,서귀포시,대륜동,호텔업,여성,5,411000
2017-01-01,서귀포시,대정읍,빵 및 과자류 소매업,남성,1500,18671840
2017-01-01,서귀포시,대정읍,수산물 소매업,남성,464,39956000
2017-01-01,서귀포시,대륜동,여행사업,남성,2,158750
2017-01-01,서귀포시,대륜동,여관업,남성,532,48851286
2017-01-01,서귀포시,대륜동,화장품 및 방향제 소매업,남성,5,1130000
2017-01-01,서귀포시,대륜동,여행사업,여성,9,1010750
2017-01-01,서귀포시,대륜동,욕탕업,여성,33,4343000
2017-01-01,서귀포시,대륜동,육류 소매업,여성,2,33000
2017-01-01,서귀포시,대정읍,서양식 음식점업,남성,653,20211420
2017-01-01,서귀포시,대정읍,전시 및 행사 대행업,남성,29,207100
2017-01-01,서귀포시,대정읍,일반유흥 주점업,남성,442,88574000
