시도명,시군구명,지역구분,업종명,이용자 구분,연령대,성별,연월,이용자수,이용횟수,이용금액
제주도,제주시,읍면,유흥,제주도민,60대이상,여,2018-12,23,29,4240100
제주도,제주시,읍면,유흥,제주도민,60대이상,남,2018-12,114,190,27414000
제주도,제주시,읍면,유흥,제주도민,50대,여,2018-12,52,71,6848000
제주도,제주시,읍면,유흥,제주도민,50대,남,2018-12,259,458,91468500
제주도,제주시,읍면,유흥,제주도민,40대,여,2018-12,77,99,10021600
제주도,제주시,읍면,유흥,제주도민,40대,남,2018-12,238,375,63455500
제주도,제주시,읍면,유흥,제주도민,30대,여,2018-12,43,61,8359000
제주도,제주시,읍면,유흥,제주도민,30대,남,2018-12,129,188,25670700
제주도,제주시,읍면,유흥,제주도민,20대미만,남,2018-12,1,3,680000
제주도,제주시,읍면,유흥,제주도민,20대,여,2018-12,38,43,2391000
제주도,제주시,읍면,유흥,제주도민,20대,남,2018-12,67,103,11171600
제주도,제주시,읍면,유흥,내국인관광객,60대이상,여,2018-12,16,21,4474000
제주도,제주시,읍면,유흥,내국인관광객,60대이상,남,2018-12,45,59,8459100
제주도,제주시,읍면,유흥,내국인관광객,50대,여,2018-12,38,47,4403500
제주도,제주시,읍면,유흥,내국인관광객,50대,남,2018-12,136,174,23659532
제주도,제주시,읍면,유흥,내국인관광객,40대,여,2018-12,60,74,5511100
제주도,제주시,읍면,유흥,내국인관광객,40대,남,2018-12,126,187,25387500
제주도,제주시,읍면,유흥,내국인관광객,30대,여,2018-12,97,104,3084850
제주도,제주시,읍면,유흥,내국인관광객,30대,남,2018-12,147,180,14373060
제주도,제주시,읍면,유흥,내국인관광객,20대미만,여,2018-12,2,2,62000
제주도,제주시,읍면,유흥,내국인관광객,20대미만,남,2018-12,1,2,360000
제주도,제주시,읍면,유흥,내국인관광객,20대,여,2018-12,162,173,4591600
제주도,제주시,읍면,유흥,내국인관광객,20대,남,2018-12,91,108,3988600
제주도,제주시,읍면,식음료,제주도민,60대이상,여,2018-12,1165,2047,73671600
제주도,제주시,읍면,식음료,제주도민,60대이상,남,2018-12,2665,5781,213324525
제주도,제주시,읍면,식음료,제주도민,50대,여,2018-12,2604,4970,166440225
제주도,제주시,읍면,식음료,제주도민,50대,남,2018-12,4486,10258,358365895
제주도,제주시,읍면,식음료,제주도민,40대,여,2018-12,3500,7412,207099310
제주도,제주시,읍면,식음료,제주도민,40대,남,2018-12,4946,11545,361482317
제주도,제주시,읍면,식음료,제주도민,30대,여,2018-12,2867,5816,145715448
제주도,제주시,읍면,식음료,제주도민,30대,남,2018-12,3481,7079,195746704
제주도,제주시,읍면,식음료,제주도민,20대미만,여,2018-12,101,167,2601980
제주도,제주시,읍면,식음료,제주도민,20대미만,남,2018-12,115,235,4424340
제주도,제주시,읍면,식음료,제주도민,20대,여,2018-12,2098,3394,74200818
제주도,제주시,읍면,식음료,제주도민,20대,남,2018-12,1831,3433,79722220
제주도,제주시,읍면,식음료,내국인관광객,60대이상,여,2018-12,1439,2077,79170850
제주도,제주시,읍면,식음료,내국인관광객,60대이상,남,2018-12,2406,3860,151889500
제주도,제주시,읍면,식음료,내국인관광객,50대,여,2018-12,4060,5973,195317360
제주도,제주시,읍면,식음료,내국인관광객,50대,남,2018-12,5587,9062,325086394
제주도,제주시,읍면,식음료,내국인관광객,40대,여,2018-12,5423,8336,258896960
제주도,제주시,읍면,식음료,내국인관광객,40대,남,2018-12,6720,11155,377360139
제주도,제주시,읍면,식음료,내국인관광객,30대,여,2018-12,9107,14294,377362353
제주도,제주시,읍면,식음료,내국인관광객,30대,남,2018-12,9316,14616,415892612
제주도,제주시,읍면,식음료,내국인관광객,20대미만,여,2018-12,180,293,6309450
제주도,제주시,읍면,식음료,내국인관광객,20대미만,남,2018-12,148,231,5042150
제주도,제주시,읍면,식음료,내국인관광객,20대,여,2018-12,11321,17650,407825240
제주도,제주시,읍면,식음료,내국인관광객,20대,남,2018-12,7095,10669,258732290
제주도,제주시,읍면,숙박,제주도민,60대이상,여,2018-12,25,34,12606520
제주도,제주시,읍면,숙박,제주도민,60대이상,남,2018-12,54,85,6589600
제주도,제주시,읍면,숙박,제주도민,50대,여,2018-12,58,87,10094930
제주도,제주시,읍면,숙박,제주도민,50대,남,2018-12,126,173,15627350
제주도,제주시,읍면,숙박,제주도민,40대,여,2018-12,89,124,5899540
제주도,제주시,읍면,숙박,제주도민,40대,남,2018-12,155,225,10676990
제주도,제주시,읍면,숙박,제주도민,30대,여,2018-12,81,123,4549300
제주도,제주시,읍면,숙박,제주도민,30대,남,2018-12,144,228,12784232
제주도,제주시,읍면,숙박,제주도민,20대미만,여,2018-12,2,2,180000
제주도,제주시,읍면,숙박,제주도민,20대미만,남,2018-12,3,4,237500
제주도,제주시,읍면,숙박,제주도민,20대,여,2018-12,70,90,4288640
제주도,제주시,읍면,숙박,제주도민,20대,남,2018-12,95,115,4889050
